ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2014-09-04 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-05 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-06 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-07 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-08 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-09 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-10 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-11 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-12 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-13 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-14 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-15 07:30:00,25.82,24.83,23.83,22.83,21.83,20.83,19.83,18.89,17.89,16.89,15.9,14.9,13.9,12.9,11.9,10.91,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
2014-09-16 07:30:00,25.81,24.82,23.82,22.82,21.82,20.82,19.82,18.88,17.88,16.88,15.89,14.89,13.89,12.89,11.89,10.9,9.91,8.91,7.91,6.91,5.91,4.91,3.91,2.91,1.91,0.92,0.0
